title,notes,tags,header,organization,dataset_source,geodata,country,tag_list,doc,All_text
hotosm trinidad tobago schools,openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information,education openstreetmap schools trinidad tobago,,description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved,openstreetmap contributors,geodata,trinidad tobago,"['education', 'openstreetmap', 'osm', 'schools', 'trinidad and tobago']",hotosm trinidad tobago schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information trinidad tobago geodata,hotosm trinidad tobago schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information trinidad tobago geodata
hotosm antigua barbuda schools,openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information,antigua barbuda education openstreetmap schools,,description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved,openstreetmap contributors,geodata,antigua barbuda,"['antigua and barbuda', 'education', 'openstreetmap', 'osm', 'schools']",hotosm antigua barbuda schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information antigua barbuda geodata,hotosm antigua barbuda schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information antigua barbuda geodata
hotosm barbados schools,openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information,barbados education openstreetmap schools,,description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved,openstreetmap contributors,geodata,barbados,"['barbados', 'education', 'openstreetmap', 'osm', 'schools']",hotosm barbados schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information barbados geodata,hotosm barbados schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information barbados geodata
draft mapping humanitarain assistance camps maiduguri,draft mapping humanitarian assistance camps,education,mapping humanitarain assistance official idps camps maiduguri unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed,description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved,education emergencies working group nigeria,,nigeria,['education'],draft mapping humanitarain assistance camps maiduguri mapping humanitarain assistance official idps camps maiduguri unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved draft mapping humanitarian assistance camps nigeria ,draft mapping humanitarain assistance camps maiduguri mapping humanitarain assistance official idps camps maiduguri unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved draft mapping humanitarian assistance camps nigeria 
nigeria education sector assessment registry,nigeria education sector assessment registry,education,lead organization time period assessment title participants coverage state state pcode pcode ward ward pcode community site pcode community site latitude longitude status availability link,description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved,education emergencies working group nigeria,,nigeria,['education'],nigeria education sector assessment registry lead organization time period assessment title participants coverage state state pcode pcode ward ward pcode community site pcode community site latitude longitude status availability link description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved nigeria education sector assessment registry nigeria ,nigeria education sector assessment registry lead organization time period assessment title participants coverage state state pcode pcode ward ward pcode community site pcode community site latitude longitude status availability link description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved nigeria education sector assessment registry nigeria 
nigeria education secondary data review,nigeria education secondary data review,education,secondary data matrix unnamed unnamed unnamed unnamed unnamed unnamed,description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved,education emergencies working group nigeria,,nigeria,['education'],nigeria education secondary data review secondary data matrix unnamed unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved nigeria education secondary data review nigeria ,nigeria education secondary data review secondary data matrix unnamed unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved nigeria education secondary data review nigeria 
dataset education nigeria april,education sector month april,education,unnamed unnamed unnamed unnamed unnamed,description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved,education emergencies working group nigeria,,nigeria,['education'],dataset education nigeria april unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved education sector month april nigeria ,dataset education nigeria april unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved education sector month april nigeria 
nigeria education,dataset education nigeria,education,reporting date updated date month sector reporting organization implementing organization donor second donor project name code type beneficiary state state pcode pcode ward ward pcode community site location camp other locations response area school name others school name type education latitude longitude activity indicator activity indicator unit measurement activities indicator sector objectives strategic objectives response type status start date date girls boys adult female adult teachers female teachers male enrollment attendance girls attendance boys item quantities total children total attendance total adults total teachers activity cash cash beneficiary modality conditionality restriction freq transfer cash amount individual total cash amount month delivery mechanism additional comments,description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved,education emergencies working group nigeria,,nigeria,['education'],nigeria education reporting date updated date month sector reporting organization implementing organization donor second donor project name code type beneficiary state state pcode pcode ward ward pcode community site location camp other locations response area school name others school name type education latitude longitude activity indicator activity indicator unit measurement activities indicator sector objectives strategic objectives response type status start date date girls boys adult female adult teachers female teachers male enrollment attendance girls attendance boys item quantities total children total attendance total adults total teachers activity cash cash beneficiary modality conditionality restriction freq transfer cash amount individual total cash amount month delivery mechanism additional comments description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved dataset education nigeria nigeria ,nigeria education reporting date updated date month sector reporting organization implementing organization donor second donor project name code type beneficiary state state pcode pcode ward ward pcode community site location camp other locations response area school name others school name type education latitude longitude activity indicator activity indicator unit measurement activities indicator sector objectives strategic objectives response type status start date date girls boys adult female adult teachers female teachers male enrollment attendance girls attendance boys item quantities total children total attendance total adults total teachers activity cash cash beneficiary modality conditionality restriction freq transfer cash amount individual total cash amount month delivery mechanism additional comments description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved dataset education nigeria nigeria 
education emergencies working group nigeria eiewgn reporting template,reporting template guidelines activities nigeria,education,unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed,description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved,education emergencies working group nigeria,,nigeria,['education'],education emergencies working group nigeria eiewgn reporting template unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved reporting template guidelines activities nigeria nigeria ,education emergencies working group nigeria eiewgn reporting template unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed description education emergencies working group eiewg nigeria brings together ngos agencies academics other partners under shared goal ensuring predictable well coordinated equitable provision education populations affected humanitarian crises created t title education emergencies working group nigeria name eiewg is organization true state active image url revision id fe b e d d dcd ee b f type organization c eb d e f c c e d approval status approved reporting template guidelines activities nigeria nigeria 
syrian camps monitoring study northern syria camps,syrian camps monitoring interactive study issued monthly basis monitor humanitarian situation camps idleb aleppo governorates syria northwest shedding light needs idps services provided camps following sectors population statistics wash health education shelter addition priority needs idps study also includes statistics those arrive leave camps important incidents which took place during month data collection,aleppo camps education idleb idps northern syria syria,date date collection cluster camp camp area camp status households total number staying camp males total number females total number males from months males from months year males from years males from years males from years males from years males from years males over years females from months females from months year females from from years females from from years females from from years females from from years females from from years females over years accompanied elderly number unaccompanied minors with parents female headed households number people with special needs child headed households under years number orphans with father mother number cases domestic violence disabled result injury accident number people received camp during past days number individuals left camp during past days number individuals living around camp number families staying around camp average capita water daily consumption drinking general price water general cubic meter there providers making tests drinking water suitability potable according laboratory reports presumably potable potable according laboratory test presumably potable tankers network water sterilized percentage water network readiness water sector priorities water sector priorities water sector priorities public network cesspit disposal open percentage sewage network readiness number public toilets number blocks caravans number public bathrooms number blocks caravans number public toilets number cabins number public bathrooms number cabins number functional public toilets number cabins number functional public bathrooms number cabins number private toilets number private bathrooms number public toilets with access water number public bathrooms with access shower water number female assigned toilets number female assigned bathrooms failures in watertaps waste accumulation cabin damaged water not available failures in piping sweage network failures in watertaps waste accumulation cabin damaged water not available failures in piping sweage network inclination camp land priorities sanitation sector priorities sanitation sector priorities sanitation sector household waste management collects waste garbage regularly removed there landfill near camp pesticides sprayed waste collection areas there mechanism solid waste treatment what mechanism collection waste often used camp number containers household waste disposal mechanism after being transported outside camp option only hygiene sector priorities hygiene sector priorities hygiene sector priorities what mechanism used sewage disposal camp camp prone flood camp been subject floods before when last time that baskets were distributed find health situation camp find health services provided camp there medical point camp access possibility have access nearest medical point nearest medical point outside camp providing service camp meters measles acute viral hepatitis cholera typhoid fever acute runny diarrhoea acute diarrhea meningitis suspected influenza diabetic high arterial tension chronic heart disease chronic respiratory diseases chronic kidney failure scabies lice leishmaniasis total physicians roportion females total physicians number general practitioners number orthopedics doctors number gynecologist doctors number general surgery physicians number dentists number pediatricians number internist physicians total medical specialties number nurses number midwives number female nurses number live births number deaths order three priorities supporting health sector first priority order three priorities supporting health sector second priority order three priorities supporting health sector third priority evaluation consumables terms quality evaluation consumables terms price evaluation bread market terms quantity evaluate bread market terms quality evaluate bread market terms price evaluation vegetables market terms quantity evaluation vegetables market terms quality evaluation vegetables market terms price evaluation meat market terms quantity evaluation meat market terms quality evaluation meat market terms price number loaves bread distributed number people whom cooked meals distributed number distributed food baskets month number baskets camp needs month order three priorities food security sector support first priority order three priorities food security sector support second priority order three priorities food security sector support third priority number functional schools number functional schools number regular teachers profession whom teaching number regular female teachers profession whom teaching number volunteer teachers profession whom teaching number female teachers profession whom teaching number primary grade students enrolled camp number primary grade students enrolled outside camp number preparatory grade students enrolled camp number preparatory grade students enrolled outside camp number secondary grade students enrolled camp number secondary grade students enrolled outside camp lack materials books stationery lack teachers salaries school child labor cultural social awareness poor conditions schools lack latrines electricity furniture early marriage because shelling order three priorities support education sector first priority order three priorities support education sector second priority order three priorities support education sector third priority availability food items shops markets quality prices food items shops markets number tents number caravans accommodation number tents that need repair accommodation number tents that need replacement number tents with more than people staying number rooms number families with shelter inside camp number families living open number required rain insulators needed number thermal insulators needed road condition na syrian non governmental organizations international organizations un local councils order three priorities support shelter sector food items firs order three priorities support shelter sector food items seco order three priorities support shelter sector food items thir order three priorities camp support sector first priority order three priorities camp support sector second priority order three priorities camp support sector third priority,description assistance coordination unit national syrian government political profit institution focused maximizing impact assistance delivered syrian people coordinating efforts donors implementing agencies community representatives created t title assistance coordination unit name is organization true state active image url revision id b f c d c ade type organization b c d f d bfd d f d approval status approved,assistance coordination unit,,syrian arab republic,"['acu', 'aleppo', 'camps', 'education', 'idleb', 'idps', 'imu', 'northern syria', 'syria']",syrian camps monitoring study northern syria camps date date collection cluster camp camp area camp status households total number staying camp males total number females total number males from months males from months year males from years males from years males from years males from years males from years males over years females from months females from months year females from from years females from from years females from from years females from from years females from from years females over years accompanied elderly number unaccompanied minors with parents female headed households number people with special needs child headed households under years number orphans with father mother number cases domestic violence disabled result injury accident number people received camp during past days number individuals left camp during past days number individuals living around camp number families staying around camp average capita water daily consumption drinking general price water general cubic meter there providers making tests drinking water suitability potable according laboratory reports presumably potable potable according laboratory test presumably potable tankers network water sterilized percentage water network readiness water sector priorities water sector priorities water sector priorities public network cesspit disposal open percentage sewage network readiness number public toilets number blocks caravans number public bathrooms number blocks caravans number public toilets number cabins number public bathrooms number cabins number functional public toilets number cabins number functional public bathrooms number cabins number private toilets number private bathrooms number public toilets with access water number public bathrooms with access shower water number female assigned toilets number female assigned bathrooms failures in watertaps waste accumulation cabin damaged water not available failures in piping sweage network failures in watertaps waste accumulation cabin damaged water not available failures in piping sweage network inclination camp land priorities sanitation sector priorities sanitation sector priorities sanitation sector household waste management collects waste garbage regularly removed there landfill near camp pesticides sprayed waste collection areas there mechanism solid waste treatment what mechanism collection waste often used camp number containers household waste disposal mechanism after being transported outside camp option only hygiene sector priorities hygiene sector priorities hygiene sector priorities what mechanism used sewage disposal camp camp prone flood camp been subject floods before when last time that baskets were distributed find health situation camp find health services provided camp there medical point camp access possibility have access nearest medical point nearest medical point outside camp providing service camp meters measles acute viral hepatitis cholera typhoid fever acute runny diarrhoea acute diarrhea meningitis suspected influenza diabetic high arterial tension chronic heart disease chronic respiratory diseases chronic kidney failure scabies lice leishmaniasis total physicians roportion females total physicians number general practitioners number orthopedics doctors number gynecologist doctors number general surgery physicians number dentists number pediatricians number internist physicians total medical specialties number nurses number midwives number female nurses number live births number deaths order three priorities supporting health sector first priority order three priorities supporting health sector second priority order three priorities supporting health sector third priority evaluation consumables terms quality evaluation consumables terms price evaluation bread market terms quantity evaluate bread market terms quality evaluate bread market terms price evaluation vegetables market terms quantity evaluation vegetables market terms quality evaluation vegetables market terms price evaluation meat market terms quantity evaluation meat market terms quality evaluation meat market terms price number loaves bread distributed number people whom cooked meals distributed number distributed food baskets month number baskets camp needs month order three priorities food security sector support first priority order three priorities food security sector support second priority order three priorities food security sector support third priority number functional schools number functional schools number regular teachers profession whom teaching number regular female teachers profession whom teaching number volunteer teachers profession whom teaching number female teachers profession whom teaching number primary grade students enrolled camp number primary grade students enrolled outside camp number preparatory grade students enrolled camp number preparatory grade students enrolled outside camp number secondary grade students enrolled camp number secondary grade students enrolled outside camp lack materials books stationery lack teachers salaries school child labor cultural social awareness poor conditions schools lack latrines electricity furniture early marriage because shelling order three priorities support education sector first priority order three priorities support education sector second priority order three priorities support education sector third priority availability food items shops markets quality prices food items shops markets number tents number caravans accommodation number tents that need repair accommodation number tents that need replacement number tents with more than people staying number rooms number families with shelter inside camp number families living open number required rain insulators needed number thermal insulators needed road condition na syrian non governmental organizations international organizations un local councils order three priorities support shelter sector food items firs order three priorities support shelter sector food items seco order three priorities support shelter sector food items thir order three priorities camp support sector first priority order three priorities camp support sector second priority order three priorities camp support sector third priority description assistance coordination unit national syrian government political profit institution focused maximizing impact assistance delivered syrian people coordinating efforts donors implementing agencies community representatives created t title assistance coordination unit name is organization true state active image url revision id b f c d c ade type organization b c d f d bfd d f d approval status approved syrian camps monitoring interactive study issued monthly basis monitor humanitarian situation camps idleb aleppo governorates syria northwest shedding light needs idps services provided camps following sectors population statistics wash health education shelter addition priority needs idps study also includes statistics those arrive leave camps important incidents which took place during month data collection syrian arab republic ,syrian camps monitoring study northern syria camps date date collection cluster camp camp area camp status households total number staying camp males total number females total number males from months males from months year males from years males from years males from years males from years males from years males over years females from months females from months year females from from years females from from years females from from years females from from years females from from years females over years accompanied elderly number unaccompanied minors with parents female headed households number people with special needs child headed households under years number orphans with father mother number cases domestic violence disabled result injury accident number people received camp during past days number individuals left camp during past days number individuals living around camp number families staying around camp average capita water daily consumption drinking general price water general cubic meter there providers making tests drinking water suitability potable according laboratory reports presumably potable potable according laboratory test presumably potable tankers network water sterilized percentage water network readiness water sector priorities water sector priorities water sector priorities public network cesspit disposal open percentage sewage network readiness number public toilets number blocks caravans number public bathrooms number blocks caravans number public toilets number cabins number public bathrooms number cabins number functional public toilets number cabins number functional public bathrooms number cabins number private toilets number private bathrooms number public toilets with access water number public bathrooms with access shower water number female assigned toilets number female assigned bathrooms failures in watertaps waste accumulation cabin damaged water not available failures in piping sweage network failures in watertaps waste accumulation cabin damaged water not available failures in piping sweage network inclination camp land priorities sanitation sector priorities sanitation sector priorities sanitation sector household waste management collects waste garbage regularly removed there landfill near camp pesticides sprayed waste collection areas there mechanism solid waste treatment what mechanism collection waste often used camp number containers household waste disposal mechanism after being transported outside camp option only hygiene sector priorities hygiene sector priorities hygiene sector priorities what mechanism used sewage disposal camp camp prone flood camp been subject floods before when last time that baskets were distributed find health situation camp find health services provided camp there medical point camp access possibility have access nearest medical point nearest medical point outside camp providing service camp meters measles acute viral hepatitis cholera typhoid fever acute runny diarrhoea acute diarrhea meningitis suspected influenza diabetic high arterial tension chronic heart disease chronic respiratory diseases chronic kidney failure scabies lice leishmaniasis total physicians roportion females total physicians number general practitioners number orthopedics doctors number gynecologist doctors number general surgery physicians number dentists number pediatricians number internist physicians total medical specialties number nurses number midwives number female nurses number live births number deaths order three priorities supporting health sector first priority order three priorities supporting health sector second priority order three priorities supporting health sector third priority evaluation consumables terms quality evaluation consumables terms price evaluation bread market terms quantity evaluate bread market terms quality evaluate bread market terms price evaluation vegetables market terms quantity evaluation vegetables market terms quality evaluation vegetables market terms price evaluation meat market terms quantity evaluation meat market terms quality evaluation meat market terms price number loaves bread distributed number people whom cooked meals distributed number distributed food baskets month number baskets camp needs month order three priorities food security sector support first priority order three priorities food security sector support second priority order three priorities food security sector support third priority number functional schools number functional schools number regular teachers profession whom teaching number regular female teachers profession whom teaching number volunteer teachers profession whom teaching number female teachers profession whom teaching number primary grade students enrolled camp number primary grade students enrolled outside camp number preparatory grade students enrolled camp number preparatory grade students enrolled outside camp number secondary grade students enrolled camp number secondary grade students enrolled outside camp lack materials books stationery lack teachers salaries school child labor cultural social awareness poor conditions schools lack latrines electricity furniture early marriage because shelling order three priorities support education sector first priority order three priorities support education sector second priority order three priorities support education sector third priority availability food items shops markets quality prices food items shops markets number tents number caravans accommodation number tents that need repair accommodation number tents that need replacement number tents with more than people staying number rooms number families with shelter inside camp number families living open number required rain insulators needed number thermal insulators needed road condition na syrian non governmental organizations international organizations un local councils order three priorities support shelter sector food items firs order three priorities support shelter sector food items seco order three priorities support shelter sector food items thir order three priorities camp support sector first priority order three priorities camp support sector second priority order three priorities camp support sector third priority description assistance coordination unit national syrian government political profit institution focused maximizing impact assistance delivered syrian people coordinating efforts donors implementing agencies community representatives created t title assistance coordination unit name is organization true state active image url revision id b f c d c ade type organization b c d f d bfd d f d approval status approved syrian camps monitoring interactive study issued monthly basis monitor humanitarian situation camps idleb aleppo governorates syria northwest shedding light needs idps services provided camps following sectors population statistics wash health education shelter addition priority needs idps study also includes statistics those arrive leave camps important incidents which took place during month data collection syrian arab republic 
